Brand,Model,Type,Frequency Response (Hz),Wireless,Noise Cancelling,Open/Closed,Color,Quantity,Price
HiFiMAN,Susvara,Circumaural,6 - 75 kHz,No,No,Open,Silver / Brown,0,$5999.00
HP,HyperX Cloud II,Circumaural,15 - 25 kHz,No,No,Closed,Black / Red,123,$59.99
Razer,BlackShark V2 X,Circumaural,12 - 28 kHz,No,No,Closed,Black / Green,15,$49.99
SteelSeries,Arctis Nova Pro Wireless for PC; PS5 and PS4,Circumaural,10 - 40 kHz,Yes,Yes,Closed,Black,4,$298.70
Logitech,Pro X,Circumaural,20 - 20 kHz,Yes,No,Closed,Black,21,$111.99
Beyerdynamic,DT 770 PRO,Circumaural,5 - 35 kHz,No,No,Closed,Gray,25,$168.95
Logitech,G733,Circumaural,20 - 20 kHz,Yes,Yes,Closed,White / Gray,4,$139.99
Logitech,PRO X 2 LIGHTSPEED,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black,1,$249.99
Logitech,G435,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black / Yellow,1,$49.88
SteelSeries,Arctis 1,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black,14,$90.99
Razer,BlackShark V2 Pro (2023),Circumaural,12 - 28 kHz,Yes,Yes,Closed,Black,1,$199.99
Logitech,PRO X 2 LIGHTSPEED,Circumaural,20 - 20 kHz,Yes,Yes,Closed,White,0,$241.99
Sennheiser,HD 820,Circumaural,6 - 48 kHz,No,No,Closed,Black,0,$1999.95
Logitech,G432,Circumaural,20 - 20 kHz,Yes,No,Closed,Black / Blue,12,$48.99
HP,HyperX Cloud,Circumaural,15 - 25 kHz,Yes,No,Closed,Black / White,21,
Beyerdynamic,DT 990 Pro 250,Circumaural,5 - 35 kHz,No,No,Open,Black / Gray,18,
Astro,A50 + Base Station,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black / Gold,2,$249.99
SteelSeries,Arctis 1,Circumaural,20 - 20 kHz,Yes,No,Closed,Black,9,$39.99
Corsair,VOID RGB ELITE,Circumaural,20 - 30 kHz,Yes,Yes,Closed,Black,22,$99.99
Beyerdynamic,DT990 Premium Limited-Edition,Circumaural,5 - 35 kHz,No,No,Open,Black,3,$159.00
SteelSeries,Arctis Nova 7,Circumaural,20 - 22 kHz,Yes,Yes,Closed,Black,2,$131.68
Corsair,VOID RGB ELITE,Circumaural,20 - 30 kHz,Yes,Yes,Closed,White,10,$109.99
HP,HyperX Cloud Alpha,Circumaural,13 - 27 kHz,Yes,No,Closed,Black / Red,29,$79.98
SteelSeries,Arctis Nova 1,Circumaural,20 - 22 kHz,Yes,No,Closed,White,0,$59.00
Sennheiser,HD 560S,Circumaural,6 - 38 kHz,No,No,Open,Black,2,$169.95
Sony,XM5,Circumaural,4 - 40 kHz,Yes,Yes,Closed,Black,1,$328.00
Corsair,VIRTUOSO RGB Wireless XT,Circumaural,20 - 40 kHz,Yes,Yes,Closed,Black / Silver,4,$159.99
Corsair,Virtuoso RGB,Circumaural,20 - 40 kHz,Yes,Yes,Closed,White,6,$199.99
Yamaha,EPH-20PI,In Ear,20 - 21 kHz,No,No,Closed,Black / Pink,0,$4.99
Razer,BlackShark V2 Pro,Circumaural,12 - 28 kHz,Yes,Yes,Closed,Black,14,$129.99
Beyerdynamic,DT1990 Pro,Circumaural,5 - 40 kHz,No,No,Open,Black,4,$529.00
Razer,Kraken V3 X,Circumaural,12 - 28 kHz,Yes,No,Closed,Black,2,$44.99
Logitech,G733,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black,11,$131.71
HP,HyperX Cloud II,Circumaural,15 - 20 kHz,Yes,Yes,Closed,Gunmetal,6,$89.99
Turtle Beach,EAR FORCE Recon 50X,Circumaural,20 - 20 kHz,Yes,No,Closed,Black / Green,2,$28.98
SteelSeries,Arctis Pro,Circumaural,10 - 40 kHz,Yes,Yes,Closed,Black,24,$198.74
Razer,BlackShark V2 Pro (2023),Circumaural,12 - 28 kHz,Yes,Yes,Closed,White / Black,1,$199.99
Razer,Kraken Kitty,Circumaural,20 - 20 kHz,Yes,No,Closed,Pink,1,$99.99
HP,HyperX Cloud Alpha,Circumaural,15 - 21 kHz,Yes,Yes,Closed,Black / Red,1,$169.00
Corsair,HS80 RGB,Circumaural,20 - 40 kHz,Yes,Yes,Closed,Black,2,$119.99
Sennheiser,HD 800 S,Circumaural,4 - 51 kHz,No,No,Open,Black / Silver,1,$1799.95
Audio-Technica,ATH-M50x,Circumaural,15 - 28 kHz,No,No,Closed,Black / Silver,68,$149.00
Razer,Barracuda X,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black,1,$99.99
Razer,Barracuda Pro,Circumaural,20 - 20 kHz,Yes,Yes,Closed,Black,0,$225.99
Asus,ROG Theta 7.1,Circumaural,20 - 40 kHz,Yes,No,Closed,Black,0,$299.99

