Product Name,Memory Type,Capacity,Price,Color,CAS Latency,Speed (MT/s),Availability,Price per Unit,imgUrl
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,2.499,Black,10 ns,16,21,39.99,../../assets/img/ram/default.jpg
Corsair Vengeance LPX 16 GB,DDR4-3600,2 x 8GB,2.562,Black,10 ns,18,120,40.99,../../assets/img/ram/default.jpg
Silicon Power GAMING 16 GB,DDR4-3200,2 x 8GB,2.061,Black / Gray,10 ns,16,40,32.97,../../assets/img/ram/default.jpg
Silicon Power XPOWER Turbine 16 GB,DDR4-3200,2 x 8GB,2.061,Blue,10 ns,16,26,32.97,../../assets/img/ram/default.jpg
TEAMGROUP T-Force Vulcan Z 16 GB,DDR4-3200,2 x 8GB,2.249,Black,10 ns,16,91,35.99,../../assets/img/ram/default.jpg
TEAMGROUP Vulcan Z 16 GB,DDR4-3600,2 x 8GB,2.187,Black,10 ns,18,16,34.99,../../assets/img/ram/default.jpg
Corsair Vengeance LPX 8 GB,DDR4-2400,1 x 8GB,3.124,Black / Yellow,13.333 ns,16,48,24.99,../../assets/img/ram/default.jpg
TEAMGROUP Elite 16 GB,DDR4-3200,2 x 8GB,1.999,Black,13.75 ns,22,1,31.99,../../assets/img/ram/default.jpg
Crucial CT2K8G48C40U5 16 GB,DDR5-4800,2 x 8GB,3.312,Black,16.667 ns,40,2,52.99,../../assets/img/ram/crucial.webp
Kingston FURY Beast 16 GB,DDR4-3200,2 x 8GB,3.061,Black,10 ns,16,10,48.98,../../assets/img/ram/default.jpg
G.Skill Ripjaws V 16 GB,DDR4-3200,2 x 8GB,2.328,Black,10 ns,16,224,37.25,../../assets/img/ram/gskill.jpg
G.Skill Ripjaws V 16 GB,DDR4-3600,2 x 8GB,2.749,Black,8.889 ns,16,196,43.99,../../assets/img/ram/gskill.jpg
Patriot Viper Venom 16 GB,DDR5-5200,2 x 8GB,4.186,Black / White,13.846 ns,36,2,66.98,../../assets/img/ram/default.jpg
Kingston FURY Beast RGB 16 GB,DDR5-6000,2 x 8GB,4.374,Black,12 ns,36,3,69.98,../../assets/img/ram/kingston.jpg
